MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
MT12BG,0,23,1.507,128.207,110,351,193.257,26667,1,5,5
MT12,1,1,0.986,133.64,112,875,131.715,18175,1,5,5
MT12,1,2,1.362,130.899,111,637,178.342,24609,1,5,5
MT12,1,3,1.406,127.99,109,480,179.944,24830,1,5,5
MT12,1,4,2.449,138.651,113,777,339.625,46864,1,5,5
MT12,1,5,0.565,147.744,120,712,83.515,11524,1,5,5
MT12,1,6,2.029,137.711,108,501,279.438,38559,1,5,5
MT12,1,7,1.739,131.779,115,528,229.202,31627,1,5,5
MT12,1,8,1.732,140.799,111,666,243.87,33651,1,5,5
MT12,1,9,1.246,139.663,115,775,174.088,24022,1,5,5
MT12,1,10,2.167,144.134,110,3551,312.318,43096,1,5,5
MT12,1,11,1.261,128.213,113,334,161.674,22309,1,5,5
MT12,1,12,1.457,137.622,111,922,200.467,27662,1,5,5
MT12,1,13,2.363,136.479,113,879,322.435,44492,1,5,5
MT12,1,14,1.971,135.085,108,685,266.278,36743,1,5,5
MT12,1,15,2.674,139.339,113,1015,372.613,51416,1,5,5
MT12,1,16,1.58,130.917,107,1007,206.83,28540,1,5,5
MT12,1,17,1.783,147.061,108,1020,262.176,36177,1,5,5
MT12,1,18,1.971,126.904,106,470,250.153,34518,1,5,5
MT12BG,1,19,1.442,619.503,115,8747,893.421,123281,1,5,5
MT12BG,1,20,1.391,131.661,109,737,183.198,25279,1,5,5
MT12BG,1,21,0.87,143.25,112,656,124.576,17190,1,5,5
MT12BG,1,22,1.652,131.855,113,494,217.867,30063,1,5,5
MT12BG,1,23,1.507,133.846,115,1040,201.757,27840,1,5,5
MT12,0,24,1.71,22758.39,13547,38843,38923.658,5370980,2,5,5
MT12,0,25,1.652,24692.684,13250,37216,40800.291,5629932,2,5,5
MT12,0,26,1.044,24360.785,13881,37775,25422.244,3507953,2,5,5
MT12,0,27,1.66,27598.528,13700,49959,45801.692,6320063,2,5,5
MT12,0,28,1.304,22240.333,13632,33410,29011.749,4003260,2,5,5
MT12,0,29,0.877,23544,13557,34230,20645.515,2848824,2,5,5
MT12,0,30,0.507,18747.143,13622,26543,9510.279,1312300,2,5,5
MT12,0,31,0.913,19214.413,13548,26126,17545.178,2421016,2,5,5
MT12,0,32,0.79,25246.835,13910,41434,19943.14,2751905,2,5,5
MT12,0,33,0.906,27946.24,13605,49414,25315.908,3493280,2,5,5
MT12,0,34,1.16,31673.656,13862,52887,36726.394,5067785,2,5,5
MT12,0,35,1.022,23878.667,13643,38361,24399.97,3366892,2,5,5
MT12,0,36,1.435,34276.237,13547,61495,49183.388,6786695,2,5,5
MT12,0,37,1.333,28857.739,13559,54915,38480.458,5309824,2,5,5
MT12,0,38,1.377,22314.037,13562,37295,30724.998,4239667,2,5,5
MT12,0,39,1.725,31361.563,13735,53760,54092.215,7464052,2,5,5
MT12,0,40,1.326,26680.066,13579,44479,35383.28,4882452,2,5,5
MT12,0,41,1.051,20461.469,13550,29997,21501.31,2966913,2,5,5
MT12,0,42,0.826,25224.825,13602,39527,20839.779,2875630,2,5,5
MT12,0,43,1.797,36478.242,13757,62731,65561.018,9046604,2,5,5
MT12,0,44,1.42,42123.337,13731,65535,59832.748,8256174,2,5,5
MT12,0,45,1.428,31705.31,13637,57423,45264.563,6245946,2,5,5
MT12,0,46,1.341,21700.557,13561,31319,29093.952,4014603,2,5,5
MT12,0,47,1.145,28038.835,13859,49865,32105.332,4430136,2,5,5
MT12,0,48,0.152,14865.619,12466,17054,2262.364,312178,2,5,5
MT12,0,49,1.449,31374.34,13951,52846,45474.162,6274868,2,5,5
MT12,0,50,1.015,23951.029,13530,38436,24300.338,3353144,2,5,5
MT12,0,51,1.246,28200.494,13535,45414,35151.615,4850485,2,5,5
MT12,0,52,0.87,21845.592,12383,32753,18997.881,2621471,2,5,5
MT12,0,53,0.848,19062.385,13390,29466,16163.046,2230299,2,5,5
MT12,0,54,1.21,19167.509,13567,28202,23197.557,3200974,2,5,5
MT12,0,55,1.515,31277.325,13789,57683,47373.558,6536961,2,5,5
MT12,0,56,1.268,28000.817,13782,47562,35511.488,4900143,2,5,5
MT12,0,57,1.022,21784.66,13559,33908,22260.248,3071637,2,5,5
MT12,0,58,0.319,15329.977,12509,18522,4888.26,674519,2,5,5
MT12,0,59,1.37,18151.143,13584,26432,24861.418,3430566,2,5,5
MT12,0,60,1.138,27516.624,13554,46759,31307.971,4320110,2,5,5
MT12,0,61,1.42,22895.097,13576,34463,32520.609,4487439,2,5,5
MT12,0,62,1.652,24009.961,13598,44001,39672.211,5474271,2,5,5
MT12BG,0,63,0.725,130.66,112,281,94.69,13066,2,5,5
MT12BG,0,64,1.044,135.771,114,602,141.687,19551,2,5,5
MT12BG,0,65,1.391,131.677,114,474,183.219,25282,2,5,5
MT12BG,0,66,3.044,128.06,103,281,389.782,53785,2,5,5
MT12BG,0,67,0.928,129.867,114,328,120.467,16623,2,5,5
MT12,1,24,1.71,15168.064,2801,28351,25941.928,3579663,2,5,5
MT12,1,25,1.652,15798.329,3348,28822,26103.943,3602019,2,5,5
MT12,1,26,1.044,12237.042,1946,24836,12770.239,1762134,2,5,5
MT12,1,27,1.66,15819.934,3665,35968,26254.29,3622765,2,5,5
MT12,1,28,1.304,14520.106,4202,25445,18940.978,2613619,2,5,5
MT12,1,29,0.877,14616.132,3295,24406,12816.751,1768552,2,5,5
MT12,1,30,0.507,10605.486,958,21910,5380.08,742384,2,5,5
MT12,1,31,0.913,16502.294,6954,28022,15068.672,2079289,2,5,5
MT12,1,32,0.79,13870.037,2139,24422,10956.308,1511834,2,5,5
MT12,1,33,0.906,15780.888,3929,30535,14295.573,1972611,2,5,5
MT12,1,34,1.16,10805.994,1288,22324,12529.819,1728959,2,5,5
MT12,1,35,1.022,15633.34,5297,25804,15974.637,2204301,2,5,5
MT12,1,36,1.435,14002.854,1151,28322,20092.864,2772565,2,5,5
MT12,1,37,1.333,15075.995,1871,28106,20103.14,2773983,2,5,5
MT12,1,38,1.377,11577.211,2938,24748,15941.076,2199670,2,5,5
MT12,1,39,1.725,16636.45,1963,34963,28694.438,3959475,2,5,5
