"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
3.4,168,"MYb11","7","bi",10,1.39428149300156,"1","17","anc",0,0.933704510108865,"1",1.49327916691651
3.4,168,"MYb11","7","bi",10,1.39428149300156,"1","17","anc",0,0.914094867807154,"1",1.52531377442949
3.4,168,"MYb11","7","bi",10,1.39428149300156,"1","17","anc",0,1.02100311041991,"1",1.36559965270638
3.4,168,"MYb11","13","mono",10,1.17538880248834,"5","17","anc",0,0.933704510108865,"1",1.25884451639983
3.4,168,"MYb11","13","mono",10,1.17538880248834,"5","17","anc",0,0.914094867807154,"1",1.28584990889185
3.4,168,"MYb11","13","mono",10,1.17538880248834,"5","17","anc",0,1.02100311041991,"1",1.1512098156145
3.4,168,"MYb11","13","mono",10,1.49119129082426,"2","17","anc",0,0.933704510108865,"1",1.59706981671364
3.4,168,"MYb11","13","mono",10,1.49119129082426,"2","17","anc",0,0.914094867807154,"1",1.63133099565641
3.4,168,"MYb11","13","mono",10,1.49119129082426,"2","17","anc",0,1.02100311041991,"1",1.46051591381635
3.4,168,"MYb11","7","bi",10,0.83852566096423,"5","17","anc",0,0.933704510108865,"1",0.898063200815494
3.4,168,"MYb11","7","bi",10,0.83852566096423,"5","17","anc",0,0.914094867807154,"1",0.917328923392592
3.4,168,"MYb11","7","bi",10,0.83852566096423,"5","17","anc",0,1.02100311041991,"1",0.821276304064706
3.4,168,"MYb11","7","bi",10,0.825293934681182,"2","17","anc",0,0.933704510108865,"1",0.88389198696808
3.4,168,"MYb11","7","bi",10,0.825293934681182,"2","17","anc",0,0.914094867807154,"1",0.902853701236723
3.4,168,"MYb11","7","bi",10,0.825293934681182,"2","17","anc",0,1.02100311041991,"1",0.808316768341444
3.4,168,"MYb11","13","mono",10,1.40141524105754,"6","17","anc",0,0.933704510108865,"1",1.50091942995343
3.4,168,"MYb11","13","mono",10,1.40141524105754,"6","17","anc",0,0.914094867807154,"1",1.53311794039434
3.4,168,"MYb11","13","mono",10,1.40141524105754,"6","17","anc",0,1.02100311041991,"1",1.37258665204378
3.4,24,"MYb11","5","mono",4,0.389160186625194,"4","17","anc",0,0.402998444790047,"1",0.965661757895712
3.4,24,"MYb11","5","mono",4,0.389160186625194,"4","17","anc",0,0.405909797822706,"1",0.958735632183908
3.4,24,"MYb11","5","mono",4,0.389160186625194,"4","17","anc",0,0.380239502332815,"1",1.02346069842205
3.4,24,"MYb11","4","bi",4,0.34795800933126,"2","17","anc",0,0.402998444790047,"1",0.86342271001204
3.4,24,"MYb11","4","bi",4,0.34795800933126,"2","17","anc",0,0.405909797822706,"1",0.857229885057471
3.4,24,"MYb11","4","bi",4,0.34795800933126,"2","17","anc",0,0.380239502332815,"1",0.915102211097205
3.4,24,"MYb11","5","mono",4,0.395066874027994,"6","17","anc",0,0.402998444790047,"1",0.980318607020469
3.4,24,"MYb11","5","mono",4,0.395066874027994,"6","17","anc",0,0.405909797822706,"1",0.973287356321839
3.4,24,"MYb11","5","mono",4,0.395066874027994,"6","17","anc",0,0.380239502332815,"1",1.03899482195882
3.4,24,"MYb11","5","mono",4,0.361712286158631,"3","17","anc",0,0.402998444790047,"1",0.897552560896545
3.4,24,"MYb11","5","mono",4,0.361712286158631,"3","17","anc",0,0.405909797822706,"1",0.891114942528736
3.4,24,"MYb11","5","mono",4,0.361712286158631,"3","17","anc",0,0.380239502332815,"1",0.951274877911114
3.4,24,"MYb11","4","bi",4,0.382600311041991,"3","17","anc",0,0.402998444790047,"1",0.949384088172641
3.4,24,"MYb11","4","bi",4,0.382600311041991,"3","17","anc",0,0.405909797822706,"1",0.942574712643678
3.4,24,"MYb11","4","bi",4,0.382600311041991,"3","17","anc",0,0.380239502332815,"1",1.00620874131881
3.4,24,"MYb11","13","mono",10,0.348326594090202,"5","17","anc",0,0.402998444790047,"1",0.864337315921089
3.4,24,"MYb11","13","mono",10,0.348326594090202,"5","17","anc",0,0.405909797822706,"1",0.858137931034483
3.4,24,"MYb11","13","mono",10,0.348326594090202,"5","17","anc",0,0.380239502332815,"1",0.916071560038283
3.4,24,"MYb11","5","mono",4,0.374720062208398,"1","17","anc",0,0.402998444790047,"1",0.929830045382977
3.4,24,"MYb11","5","mono",4,0.374720062208398,"1","17","anc",0,0.405909797822706,"1",0.92316091954023
3.4,24,"MYb11","5","mono",4,0.374720062208398,"1","17","anc",0,0.380239502332815,"1",0.985484306363346
3.4,24,"MYb11","4","bi",4,0.348569206842924,"4","17","anc",0,0.402998444790047,"1",0.864939335000463
3.4,24,"MYb11","4","bi",4,0.348569206842924,"4","17","anc",0,0.405909797822706,"1",0.858735632183908
3.4,24,"MYb11","4","bi",4,0.348569206842924,"4","17","anc",0,0.380239502332815,"1",0.916709612505828
3.4,24,"MYb11","4","bi",4,0.360242612752722,"1","17","anc",0,0.402998444790047,"1",0.893905714550338
3.4,24,"MYb11","4","bi",4,0.360242612752722,"1","17","anc",0,0.405909797822706,"1",0.887494252873563
3.4,24,"MYb11","4","bi",4,0.360242612752722,"1","17","anc",0,0.380239502332815,"1",0.947409752386561
3.4,24,"MYb11","5","mono",4,0.380197511664075,"5","17","anc",0,0.402998444790047,"1",0.943421783828841
