"pop","rep","tp","agar","morphotype","treatE","morphology","morph.simple","Length"
2,2,"7d","34 g/l","MT32","mono","fuzzy","fuzzy",2.34026594090202
2,2,"7d","34 g/l","MT48","anc","anc","anc",1.49078071539658
2,2,"7d","34 g/l","MT8","bi","wrinkly","wrinkly",0.821155520995334
2,2,"7d","34 g/l","MT9","bi","wrinkly","wrinkly",1.35415707620529
2,2,"7d","5 g/l","MT30","mono","anc.var","smooth",9.06446967340591
2,2,"7d","5 g/l","MT31","mono","wet+flat","smooth",0.991931570762053
2,2,"7d","5 g/l","MT32","mono","fuzzy","fuzzy",1.93631570762053
2,2,"7d","5 g/l","MT48","anc","anc","anc",8.47198133748056
2,2,"7d","5 g/l","MT8","bi","wrinkly","wrinkly",3.58324572317263
2,2,"7d","5 g/l","MT9","bi","wrinkly","wrinkly",8.46071384136858
2,3,"24h","34 g/l","MT30","mono","anc.var","smooth",0.702517884914463
2,3,"24h","34 g/l","MT31","mono","wet+flat","smooth",0.598367029548989
2,3,"24h","34 g/l","MT32","mono","fuzzy","fuzzy",0.63149766718507
2,3,"24h","34 g/l","MT48","anc","anc","anc",0.731897356143079
2,3,"24h","34 g/l","MT8","bi","wrinkly","wrinkly",0.512454121306376
2,3,"24h","34 g/l","MT9","bi","wrinkly","wrinkly",0.720139968895801
2,3,"24h","5 g/l","MT30","mono","anc.var","smooth",2.65821928460342
2,3,"24h","5 g/l","MT31","mono","wet+flat","smooth",0.548888024883359
2,3,"24h","5 g/l","MT32","mono","fuzzy","fuzzy",0.652926905132193
2,3,"24h","5 g/l","MT48","anc","anc","anc",2.41006842923795
2,3,"24h","5 g/l","MT8","bi","wrinkly","wrinkly",0.496931570762053
2,3,"24h","5 g/l","MT9","bi","wrinkly","wrinkly",0.597485225505443
2,3,"3d","34 g/l","MT30","mono","anc.var","smooth",0.978494556765163
2,3,"3d","34 g/l","MT31","mono","wet+flat","smooth",0.839813374805599
2,3,"3d","34 g/l","MT32","mono","fuzzy","fuzzy",1.08338724727838
2,3,"3d","34 g/l","MT48","anc","anc","anc",0.818608087091757
2,3,"3d","34 g/l","MT8","bi","wrinkly","wrinkly",0.683412130637636
2,3,"3d","34 g/l","MT9","bi","wrinkly","wrinkly",0.637810264385692
2,3,"3d","5 g/l","MT30","mono","anc.var","smooth",7.3892799377916
2,3,"3d","5 g/l","MT31","mono","wet+flat","smooth",0.613875583203732
2,3,"3d","5 g/l","MT32","mono","fuzzy","fuzzy",1.09538258164852
2,3,"3d","5 g/l","MT48","anc","anc","anc",8.43795489891135
2,3,"3d","5 g/l","MT8","bi","wrinkly","wrinkly",4.23179160186625
2,3,"3d","5 g/l","MT9","bi","wrinkly","wrinkly",2.21840902021773
2,3,"7d","34 g/l","MT30","mono","anc.var","smooth",1.64590824261275
2,3,"7d","34 g/l","MT31","mono","wet+flat","smooth",1.13520373250389
2,3,"7d","34 g/l","MT32","mono","fuzzy","fuzzy",2.29966096423017
2,3,"7d","34 g/l","MT48","anc","anc","anc",1.66672161741835
2,3,"7d","34 g/l","MT8","bi","wrinkly","wrinkly",0.970628304821151
2,3,"7d","34 g/l","MT9","bi","wrinkly","wrinkly",1.26932192846034
2,3,"7d","5 g/l","MT30","mono","anc.var","smooth",9.42456765163297
2,3,"7d","5 g/l","MT31","mono","wet+flat","smooth",0.935356143079316
2,3,"7d","5 g/l","MT32","mono","fuzzy","fuzzy",2.95345567651633
2,3,"7d","5 g/l","MT48","anc","anc","anc",8.29055365474339
2,3,"7d","5 g/l","MT8","bi","wrinkly","wrinkly",8.55079782270607
2,3,"7d","5 g/l","MT9","bi","wrinkly","wrinkly",6.7770699844479
3,1,"24h","34 g/l","MT11","bi","fuzzy","fuzzy",0.659752721617418
3,1,"24h","34 g/l","MT13","bi","anc.var","smooth",1.32974883359253
3,1,"24h","34 g/l","MT35","mono","fuzzy","fuzzy",0.661910575427683
3,1,"24h","34 g/l","MT48","anc","anc","anc",2.37582737169518
3,1,"24h","5 g/l","MT11","bi","fuzzy","fuzzy",0.590566096423017
3,1,"24h","5 g/l","MT13","bi","anc.var","smooth",2.85868506998445
3,1,"24h","5 g/l","MT35","mono","fuzzy","fuzzy",0.636121306376361
3,1,"24h","5 g/l","MT48","anc","anc","anc",3.19793234836703
3,1,"3d","34 g/l","MT11","bi","fuzzy","fuzzy",0.885359253499222
3,1,"3d","34 g/l","MT13","bi","anc.var","smooth",2.74577916018663
3,1,"3d","34 g/l","MT35","mono","fuzzy","fuzzy",1.90540590979782
3,1,"3d","34 g/l","MT48","anc","anc","anc",3.8661765163297
3,1,"3d","5 g/l","MT11","bi","fuzzy","fuzzy",0.831289269051322
3,1,"3d","5 g/l","MT13","bi","anc.var","smooth",5.41656765163297
3,1,"3d","5 g/l","MT35","mono","fuzzy","fuzzy",1.75486936236392
3,1,"3d","5 g/l","MT48","anc","anc","anc",6.23438724727838
3,1,"7d","34 g/l","MT11","bi","fuzzy","fuzzy",1.4901531881804
3,1,"7d","34 g/l","MT13","bi","anc.var","smooth",4.15074727838258
3,1,"7d","34 g/l","MT35","mono","fuzzy","fuzzy",3.67258553654743
3,1,"7d","34 g/l","MT48","anc","anc","anc",4.36041835147745
3,1,"7d","5 g/l","MT11","bi","fuzzy","fuzzy",1.11159797822706
3,1,"7d","5 g/l","MT13","bi","anc.var","smooth",5.76188724727838
3,1,"7d","5 g/l","MT35","mono","fuzzy","fuzzy",3.38387169517885
3,1,"7d","5 g/l","MT48","anc","anc","anc",6.92276127527216
3,2,"24h","34 g/l","MT11","bi","fuzzy","fuzzy",0.661812597200622
3,2,"24h","34 g/l","MT13","bi","anc.var","smooth",1.63094090202177
3,2,"24h","34 g/l","MT35","mono","fuzzy","fuzzy",0.78444634525661
3,2,"24h","34 g/l","MT48","anc","anc","anc",2.33682737169518
3,2,"24h","5 g/l","MT11","bi","fuzzy","fuzzy",0.701491446345257
3,2,"24h","5 g/l","MT13","bi","anc.var","smooth",1.68287636080871
3,2,"24h","5 g/l","MT35","mono","fuzzy","fuzzy",0.645321928460342
3,2,"24h","5 g/l","MT48","anc","anc","anc",3.63048522550544
3,2,"3d","34 g/l","MT11","bi","fuzzy","fuzzy",0.942370917573872
3,2,"3d","34 g/l","MT13","bi","anc.var","smooth",3.32558164852255
3,2,"3d","34 g/l","MT35","mono","fuzzy","fuzzy",1.63081026438569
3,2,"3d","34 g/l","MT48","anc","anc","anc",3.67373561430793
3,2,"3d","5 g/l","MT11","bi","fuzzy","fuzzy",0.968678071539658
3,2,"3d","5 g/l","MT13","bi","anc.var","smooth",3.69951555209953
3,2,"3d","5 g/l","MT35","mono","fuzzy","fuzzy",1.58018818040435
3,2,"3d","5 g/l","MT48","anc","anc","anc",6.35682737169518
3,2,"7d","34 g/l","MT11","bi","fuzzy","fuzzy",1.58546967340591
3,2,"7d","34 g/l","MT13","bi","anc.var","smooth",4.43183748055988
3,2,"7d","34 g/l","MT35","mono","fuzzy","fuzzy",3.36257309486781
3,2,"7d","34 g/l","MT48","anc","anc","anc",4.40830171073095
3,2,"7d","5 g/l","MT11","bi","fuzzy","fuzzy",1.53857309486781
3,2,"7d","5 g/l","MT13","bi","anc.var","smooth",5.88478227060653
3,2,"7d","5 g/l","MT35","mono","fuzzy","fuzzy",3.19178304821151
3,2,"7d","5 g/l","MT48","anc","anc","anc",6.83132426127527
3,3,"24h","34 g/l","MT11","bi","fuzzy","fuzzy",0.659895023328149
3,3,"24h","34 g/l","MT13","bi","anc.var","smooth",1.38677916018663
3,3,"24h","34 g/l","MT34","mono","anc.var","smooth",0.736166407465008
3,3,"24h","34 g/l","MT35","mono","fuzzy","fuzzy",0.662355209953344
3,3,"24h","34 g/l","MT48","anc","anc","anc",1.38129471228616
3,3,"24h","5 g/l","MT11","bi","fuzzy","fuzzy",0.649229393468118
3,3,"24h","5 g/l","MT13","bi","anc.var","smooth",4.01181648522551
3,3,"24h","5 g/l","MT35","mono","fuzzy","fuzzy",0.832618973561431
3,3,"24h","5 g/l","MT48","anc","anc","anc",4.51754976671851
3,3,"3d","34 g/l","MT11","bi","fuzzy","fuzzy",0.806568429237947
3,3,"3d","34 g/l","MT13","bi","anc.var","smooth",2.30720528771384
3,3,"3d","34 g/l","MT34","mono","anc.var","smooth",0.919021772939347
3,3,"3d","34 g/l","MT35","mono","fuzzy","fuzzy",1.24672534992224
3,3,"3d","34 g/l","MT48","anc","anc","anc",2.30454354587869
3,3,"3d","5 g/l","MT11","bi","fuzzy","fuzzy",0.965734059097978
3,3,"3d","5 g/l","MT13","bi","anc.var","smooth",8.44563639191291
3,3,"3d","5 g/l","MT35","mono","fuzzy","fuzzy",1.96470839813375
3,3,"3d","5 g/l","MT48","anc","anc","anc",7.79838102643857
3,3,"7d","34 g/l","MT11","bi","fuzzy","fuzzy",1.59688880248834
